Date,Time,Pair,Entry,Actual,T/P,S/L,Ex price,Delay,Deal,Level
22/11/05,8:35:01 AM,USD/JPY,119.00,119.09,True,False,119.46,60m,Buy,
22/11/05,2:24:33 PM,USD/JPY,119.23,119.18,True,false,118.78,60 m,Sell,r1
