Date,Time,Pair,Entry,Actual,T/P,S/L,Ex price,Delay,Deal,Level
25/11/05,2:48:51 AM,USD/CHF,1.3140,1.3142,True,False,1.3192,60m,Buy,r1
25/11/05,5:52:13 AM,USD/CHF,1.3194,1.3188,True,false,1.3158,60 m,Sell,r3
