Date,Time,Pair,Entry,Actual,Ex price,Delay,Deal,Level
13-Dec-05,11:11:19 PM,EUR/USD,1.1903,1.1913,1.1913,1m,Buy,pp
13-Dec-05,11:12:00 PM,EUR/USD,1.1903,1.1895,1.1895,1m,Sell,pp
